tweet_id,grounded,on_topic,not_redundant,tone_appropriate,note
119249,True,True,True,True,"Generic ask is appropriate -- no symptom was named to be specific about"
119253,True,True,True,True,""
119263,True,True,True,True,"Addresses wifi; doesn't ask about 'apps are broken' too -- see multi-symptom failure mode"
119268,True,False,True,True,"Text already says battery drains 8% in 2 min; misclassified as 'other' so reply asks generically instead of confirming battery drain specifically"
119270,True,True,True,True,"Doesn't address the 'roll back my iOS' ask, which the agent can't grant anyway -- correctly avoids promising it, but also doesn't say so"
119272,True,True,True,True,""
119280,True,True,True,True,""
119292,True,True,False,True,"Customer already gave the drain rate (12 hours); asking 'how fast' again is redundant -- heuristic judge missed this"
119294,True,True,False,True,"Customer already gave exact numbers (7:20am->60% by 8:03am); asking again is redundant -- heuristic judge missed this"
119299,True,True,True,True,""
119301,True,True,True,True,""
119324,True,True,True,True,"No real symptom named, so a generic ask is the right call here"
119326,True,True,True,True,"Heuristic judge flagged this as tone-inappropriate because the text contains the word 'love' -- it's sarcasm, and the reply's serious tone is actually correct"
119237,True,False,True,True,"Reply's generic ask never references the actual reported bug (notification opening under keyboard) -- taxonomy gap, not just a phrasing issue"
119250,True,True,True,True,"Heuristic judge flagged 'iPhone6' as an already-given iOS version and called the version-ask redundant -- device model isn't iOS version, heuristic is wrong here"
119290,True,True,True,True,"Doesn't acknowledge that the customer already tried the recommended troubleshooting steps -- a real gap, but not one the 4-check rubric captures (see report limitations)"
119291,True,False,True,False,"Wrong on every axis that matters -- apologetic tone and a 'help' framing applied to a thank-you message"
